t,spd
9.999567e-01,9.999914e-01
9.999250e-01,9.999499e-01
9.999918e-01,1.000027e+00
9.999547e-01,2.250000e+00
1.000264e+00,1.000362e+00
1.000366e+00,1.000406e+00
1.000420e+00,1.000450e+00
1.000297e+00,1.000220e+00
1.000267e+00,1.000011e+00
9.999669e-01,9.999299e-01
9.999383e-01,1.000015e+00
1.000024e+00,9.999773e-01
2.300000e+00,1.000271e+00
1.000326e+00,1.000332e+00
1.000380e+00,1.000410e+00
1.000391e+00,1.000189e+00
1.000223e+00,1.000212e+00
1.000048e+00,9.999476e-01
9.999352e-01,9.999295e-01
1.000038e+00,1.000021e+00
9.999986e-01,2.350000e+00
1.000283e+00,1.000291e+00
1.000299e+00,1.000343e+00
1.000386e+00,1.000322e+00
1.000104e+00,1.000222e+00
1.000176e+00,1.000063e+00
9.999398e-01,9.999394e-01
9.999239e-01,1.000060e+00
1.000017e+00,1.000018e+00
2.400000e+00,1.000292e+00
1.000260e+00,1.000268e+00
1.000294e+00,1.000345e+00
1.000252e+00,1.000051e+00
1.000216e+00,1.000157e+00
1.000058e+00,9.999439e-01
9.999417e-01,9.999217e-01
1.000079e+00,1.000015e+00
1.000036e+00,2.450000e+00
1.000291e+00,1.000230e+00
1.000237e+00,1.000239e+00
1.000291e+00,1.000189e+00
1.000034e+00,1.000205e+00
1.000152e+00,1.000038e+00
9.999562e-01,9.999423e-01
9.999228e-01,1.000096e+00
1.000014e+00,1.000051e+00
2.500000e+00,1.000276e+00
1.000202e+00,1.000206e+00
1.000181e+00,1.000227e+00
1.000139e+00,1.000046e+00
1.000192e+00,1.000155e+00
1.000009e+00,9.999704e-01
9.999417e-01,9.999269e-01
1.000109e+00,1.000015e+00
1.000063e+00,2.550000e+00
1.000247e+00,1.000176e+00
1.000178e+00,1.000127e+00
1.000161e+00,1.000105e+00
1.000078e+00,1.000175e+00
1.000162e+00,9.999790e-01
9.999811e-01,9.999409e-01
9.999336e-01,1.000119e+00
1.000020e+00,1.000073e+00
2.600000e+00,1.000207e+00
1.000151e+00,1.000151e+00
1.000081e+00,1.000098e+00
1.000090e+00,1.000116e+00
1.000155e+00,1.000167e+00
9.999538e-01,9.999854e-01
9.999410e-01,9.999422e-01
1.000125e+00,1.000026e+00
1.000080e+00,2.650000e+00
1.000162e+00,1.000129e+00
1.000127e+00,1.000047e+00
1.000047e+00,1.000089e+00
1.000150e+00,1.000131e+00
1.000166e+00,9.999374e-01
9.999838e-01,9.999427e-01
9.999524e-01,1.000127e+00
1.000036e+00,1.000084e+00
2.700000e+00,1.000117e+00
1.000109e+00,1.000106e+00
1.000027e+00,1.000012e+00
1.000097e+00,1.000168e+00
1.000103e+00,1.000159e+00
9.999318e-01,9.999793e-01
9.999468e-01,9.999633e-01
1.000126e+00,1.000047e+00
1.000086e+00,2.750000e+00
1.000078e+00,1.000091e+00
1.000088e+00,1.000020e+00
9.999938e-01,1.000109e+00
1.000166e+00,1.000072e+00
1.000143e+00,9.999366e-01
9.999760e-01,9.999536e-01
9.999745e-01,1.000121e+00
