f,phi,phv,pha
1.180392e+00,5.389479e+01,3.201908e+01,4.945738e+01
1.191765e+00,5.443435e+01,3.090697e+01,4.981247e+01
1.203137e+00,5.497332e+01,2.945339e+01,5.016531e+01
1.214510e+00,5.551165e+01,2.771679e+01,5.051589e+01
1.225882e+00,5.604932e+01,2.606390e+01,5.086422e+01
1.237255e+00,5.658628e+01,2.502092e+01,5.121030e+01
1.248627e+00,5.712250e+01,2.459069e+01,5.155411e+01
1.260000e+00,5.765794e+01,2.423177e+01,5.189567e+01
1.271373e+00,5.819255e+01,2.349474e+01,5.223496e+01
1.282745e+00,5.872631e+01,2.217826e+01,5.257200e+01
1.294118e+00,5.925918e+01,2.018276e+01,5.290678e+01
1.305490e+00,5.979111e+01,1.747334e+01,5.323931e+01
1.316863e+00,6.032208e+01,1.436315e+01,5.356958e+01
1.328235e+00,6.085204e+01,1.209204e+01,5.389760e+01
1.339608e+00,6.138097e+01,1.149053e+01,5.422337e+01
1.350980e+00,6.190882e+01,1.103114e+01,5.454690e+01
1.362353e+00,6.243556e+01,8.895757e+00,5.486817e+01
1.373725e+00,6.296116e+01,5.033336e+00,5.518721e+01
1.385098e+00,6.348558e+01,7.972495e+00,5.550401e+01
1.396471e+00,6.400879e+01,2.892085e+01,5.581858e+01
1.407843e+00,6.453076e+01,4.399644e+01,5.613092e+01
1.419216e+00,6.505145e+01,4.798711e+01,5.644104e+01
1.430588e+00,6.557083e+01,4.831290e+01,5.674893e+01
1.441961e+00,6.608887e+01,4.765360e+01,5.705461e+01
1.453333e+00,6.660554e+01,4.677852e+01,5.735808e+01
1.464706e+00,6.712081e+01,4.592827e+01,5.765935e+01
1.476078e+00,6.763464e+01,4.519116e+01,5.795842e+01
1.487451e+00,6.814701e+01,4.461227e+01,5.825530e+01
1.498824e+00,6.865789e+01,4.422957e+01,5.854999e+01
1.510196e+00,6.916724e+01,4.408839e+01,5.884250e+01
1.521569e+00,6.967505e+01,4.424925e+01,5.913284e+01
1.532941e+00,7.018129e+01,4.479391e+01,5.942101e+01
1.544314e+00,7.068592e+01,4.583099e+01,5.970702e+01
1.555686e+00,7.118893e+01,4.750101e+01,5.999088e+01
1.567059e+00,7.169028e+01,4.997835e+01,6.027260e+01
1.578431e+00,7.218995e+01,5.346512e+01,6.055218e+01
1.589804e+00,7.268792e+01,5.816431e+01,6.082963e+01
1.601176e+00,7.318416e+01,6.415069e+01,6.110496e+01
