f_sv,SVmp,SV
1.714882e+00,2.609231e+00,1.448585e+00
1.730766e+00,2.581776e+00,1.439485e+00
1.746796e+00,2.554592e+00,1.430478e+00
1.762975e+00,2.527694e+00,1.421563e+00
1.779304e+00,2.501097e+00,1.412739e+00
1.795785e+00,2.474810e+00,1.404006e+00
1.812418e+00,2.448842e+00,1.395363e+00
1.829205e+00,2.423200e+00,1.386812e+00
1.846147e+00,2.397888e+00,1.378351e+00
1.863246e+00,2.372913e+00,1.369980e+00
1.880504e+00,2.348275e+00,1.361700e+00
1.897922e+00,2.323977e+00,1.353511e+00
1.915501e+00,2.300020e+00,1.345414e+00
1.933242e+00,2.276403e+00,1.337407e+00
1.951148e+00,2.253126e+00,1.329492e+00
1.969220e+00,2.230188e+00,1.321669e+00
1.987460e+00,2.207587e+00,1.313938e+00
2.005868e+00,2.185321e+00,1.306299e+00
2.024447e+00,2.163386e+00,1.298754e+00
2.043197e+00,2.141781e+00,1.291302e+00
2.062122e+00,2.120501e+00,1.283943e+00
2.081222e+00,2.099543e+00,1.276679e+00
