f,g,p,gr,pr
1.046183e-01,1.343984e+00,-6.364802e+01,1.325431e+00,-3.409104e+01
1.084661e-01,1.047518e+00,-6.468152e+01,1.021354e+00,-3.405789e+01
1.124554e-01,7.524056e-01,-6.559203e+01,7.193899e-01,-3.385644e+01
1.165914e-01,4.613816e-01,-6.638410e+01,4.227156e-01,-3.349187e+01
1.208796e-01,1.769885e-01,-6.706463e+01,1.342558e-01,-3.297247e+01
1.253254e-01,-9.847237e-02,-6.764257e+01,-1.433901e-01,-3.230910e+01
1.299348e-01,-3.629760e-01,-6.812844e+01,-4.079996e-01,-3.151465e+01
1.347137e-01,-6.147961e-01,-6.853399e+01,-6.577578e-01,-3.060346e+01
1.396684e-01,-8.525137e-01,-6.887179e+01,-8.912673e-01,-2.959074e+01
1.448053e-01,-1.075016e+00,-6.915481e+01,-1.107540e+00,-2.849201e+01
1.501311e-01,-1.281483e+00,-6.939613e+01,-1.305972e+00,-2.732266e+01
1.556528e-01,-1.471372e+00,-6.960857e+01,-1.486308e+00,-2.609745e+01
