t,f0,f1,f2,f3
7.166667e+00,5.993496e+01,5.993739e+01,5.993868e+01,5.993995e+01
7.200000e+00,5.993512e+01,5.993744e+01,5.993870e+01,5.993995e+01
7.233333e+00,5.993527e+01,5.993749e+01,5.993873e+01,5.993996e+01
7.266667e+00,5.993542e+01,5.993754e+01,5.993875e+01,5.993996e+01
7.300000e+00,5.993557e+01,5.993759e+01,5.993878e+01,5.993997e+01
7.333333e+00,5.993571e+01,5.993764e+01,5.993880e+01,5.993997e+01
7.366667e+00,5.993586e+01,5.993768e+01,5.993882e+01,5.993997e+01
7.400000e+00,5.993600e+01,5.993773e+01,5.993884e+01,5.993998e+01
7.433333e+00,5.993615e+01,5.993777e+01,5.993887e+01,5.993998e+01
7.466667e+00,5.993629e+01,5.993782e+01,5.993889e+01,5.993999e+01
7.500000e+00,5.993643e+01,5.993786e+01,5.993891e+01,5.993999e+01
7.533333e+00,5.993656e+01,5.993790e+01,5.993893e+01,5.993999e+01
7.566667e+00,5.993670e+01,5.993794e+01,5.993895e+01,5.994000e+01
7.600000e+00,5.993683e+01,5.993798e+01,5.993897e+01,5.994000e+01
7.633333e+00,5.993696e+01,5.993803e+01,5.993899e+01,5.994000e+01
7.666667e+00,5.993709e+01,5.993807e+01,5.993901e+01,5.994001e+01
7.700000e+00,5.993722e+01,5.993811e+01,5.993903e+01,5.994001e+01
7.733333e+00,5.993734e+01,5.993814e+01,5.993905e+01,5.994001e+01
7.766667e+00,5.993746e+01,5.993818e+01,5.993907e+01,5.994002e+01
7.800000e+00,5.993758e+01,5.993822e+01,5.993909e+01,5.994002e+01
7.833333e+00,5.993770e+01,5.993826e+01,5.993911e+01,5.994002e+01
7.866667e+00,5.993781e+01,5.993830e+01,5.993913e+01,5.994003e+01
7.900000e+00,5.993792e+01,5.993833e+01,5.993915e+01,5.994003e+01
7.933333e+00,5.993803e+01,5.993837e+01,5.993916e+01,5.994003e+01
7.966667e+00,5.993813e+01,5.993840e+01,5.993918e+01,5.994003e+01
8.000000e+00,5.993823e+01,5.993844e+01,5.993920e+01,5.994004e+01
8.033333e+00,5.993833e+01,5.993847e+01,5.993922e+01,5.994004e+01
8.066667e+00,5.993843e+01,5.993851e+01,5.993923e+01,5.994004e+01
8.100000e+00,5.993852e+01,5.993854e+01,5.993925e+01,5.994004e+01
8.133333e+00,5.993861e+01,5.993857e+01,5.993926e+01,5.994005e+01
8.166667e+00,5.993869e+01,5.993861e+01,5.993928e+01,5.994005e+01
8.200000e+00,5.993878e+01,5.993864e+01,5.993930e+01,5.994005e+01
8.233333e+00,5.993886e+01,5.993867e+01,5.993931e+01,5.994005e+01
8.266667e+00,5.993893e+01,5.993870e+01,5.993933e+01,5.994006e+01
8.300000e+00,5.993901e+01,5.993873e+01,5.993934e+01,5.994006e+01
8.333333e+00,5.993908e+01,5.993876e+01,5.993936e+01,5.994006e+01
8.366667e+00,5.993915e+01,5.993879e+01,5.993937e+01,5.994006e+01
8.400000e+00,5.993922e+01,5.993882e+01,5.993938e+01,5.994006e+01
8.433333e+00,5.993928e+01,5.993885e+01,5.993940e+01,5.994007e+01
8.466667e+00,5.993934e+01,5.993888e+01,5.993941e+01,5.994007e+01
8.500000e+00,5.993940e+01,5.993890e+01,5.993943e+01,5.994007e+01
8.533333e+00,5.993946e+01,5.993893e+01,5.993944e+01,5.994007e+01
8.566667e+00,5.993951e+01,5.993896e+01,5.993945e+01,5.994007e+01
