re_reec,im_reec,re_gfma,im_gfma
-4.822875e+01,7.774842e+00,-9.624434e+01,2.813943e-01
-4.851379e+01,8.590617e+00,-1.038665e+02,3.004454e-01
-5.610614e-01,3.934498e-01,-2.067744e+02,3.531933e+01
-3.043289e+00,8.072054e-03,-6.197948e-01,3.483756e-01
-4.275143e-01,3.419109e+00,-4.480822e-01,3.381854e+00
-2.310238e+00,6.194518e+00,-2.308762e+00,6.192457e+00
-2.634079e+00,6.581530e+00,-2.604825e+00,6.486710e+00
-4.923374e+00,1.221441e+01,-4.990632e+00,1.196313e+01
-4.730451e+00,1.262273e+01,-4.726321e+00,1.261670e+01
-3.761434e+00,1.667436e+01,-4.434519e+00,1.567251e+01
-2.154270e+00,1.851150e+01,-2.294148e+00,1.804168e+01
-4.741156e+01,6.157284e+00,-1.634708e+01,2.676680e+01
-4.749439e+01,6.434244e+00,-4.740693e+01,6.188510e+00
-4.822819e+01,7.767700e+00,-4.749421e+01,6.434539e+00
-4.851330e+01,8.588791e+00,-4.813832e+01,7.692744e+00
-5.621229e-01,3.917530e-01,-4.847025e+01,8.556267e+00
-4.290295e-01,3.423959e+00,-1.840265e+01,4.711785e+01
-2.310693e+00,6.194817e+00,-9.623911e+01,2.817812e-01
-2.653704e+00,6.601538e+00,-1.038723e+02,3.007296e-01
-4.944435e+00,1.219441e+01,-2.068961e+02,3.563324e+01
-4.730310e+00,1.262198e+01,-6.247835e-01,3.436947e-01
-1.562556e+01,1.652663e-01,-4.510065e-01,3.385910e+00
-3.786885e+00,1.670283e+01,-2.309362e+00,6.192868e+00
-2.174655e+00,1.852324e+01,-2.623847e+00,6.501749e+00
-4.740770e+01,6.143099e+00,-4.998200e+00,1.192359e+01
-4.749432e+01,6.434087e+00,-4.726038e+00,1.261640e+01
-4.822742e+01,7.760958e+00,-4.441580e+00,1.564260e+01
-4.851279e+01,8.587168e+00,-2.294714e+00,1.803496e+01
-5.632284e-01,3.900922e-01,-1.618292e+01,2.724210e+01
-4.305312e-01,3.428815e+00,-4.740259e+01,6.175453e+00
-2.311108e+00,6.195096e+00,-4.749413e+01,6.434350e+00
-2.673956e+00,6.622162e+00,-4.813668e+01,7.686270e+00
-4.966946e+00,1.217330e+01,-4.846990e+01,8.554994e+00
-4.730152e+00,1.262128e+01,-1.864523e+01,4.641745e+01
-1.550842e+01,3.102003e+00,-9.623385e+01,2.821148e-01
-3.813694e+00,1.673206e+01,-1.038780e+02,3.009472e-01
-2.196201e+00,1.853414e+01,-2.070118e+02,3.592926e+01
-4.740379e+01,6.128483e+00,-6.298900e-01,3.387998e-01
-4.749426e+01,6.433942e+00,-4.539346e-01,3.389972e+00
-4.822671e+01,7.754088e+00,-2.309907e+00,6.193251e+00
-4.851229e+01,8.585525e+00,-2.643434e+00,6.517211e+00
-5.643738e-01,3.884209e-01,-5.005311e+00,1.188350e+01
-4.320253e-01,3.433687e+00,-4.725784e+00,1.261613e+01
-2.311488e+00,6.195358e+00,-4.447245e+00,1.561500e+01
-2.694852e+00,6.643446e+00,-2.295013e+00,1.802891e+01
-4.991014e+00,1.215093e+01,-1.601959e+01,2.768931e+01
-4.729981e+00,1.262062e+01,-4.739817e+01,6.162170e+00
-1.538575e+01,4.379626e+00,-4.749406e+01,6.434179e+00
-3.842118e+00,1.676207e+01,-4.813508e+01,7.680102e+00
-2.218976e+00,1.854402e+01,-4.846959e+01,8.553836e+00
-4.739979e+01,6.113526e+00,-1.888742e+01,4.573502e+01
-4.749420e+01,6.433810e+00,-9.622858e+01,2.823890e-01
-4.822593e+01,7.747323e+00,-1.038837e+02,3.010933e-01
-4.851179e+01,8.583957e+00,-2.071219e+02,3.620894e+01
-5.654996e-01,3.867781e-01,-6.351194e-01,3.336757e-01
-4.334878e-01,3.438639e+00,-4.568689e-01,3.394040e+00
-2.311836e+00,6.195597e+00,-2.310401e+00,6.193608e+00
-2.716402e+00,6.665439e+00,-2.663604e+00,6.533116e+00
-5.016731e+00,1.212716e+01,-5.012001e+00,1.184282e+01
-4.729799e+00,1.262001e+01,-4.725556e+00,1.261589e+01
-1.525735e+01,5.358225e+00,-4.451808e+00,1.558951e+01
-3.872299e+00,1.679293e+01,-2.295105e+00,1.802346e+01
-2.242978e+00,1.855273e+01,-1.585563e+01,2.811041e+01
-4.739570e+01,6.098218e+00,-4.739366e+01,6.148650e+00
-4.749415e+01,6.433690e+00,-4.749400e+01,6.434024e+00
