t,lc1,lc2,lc3,lc4,c1,c2,c3,c4
3.933333e+00,-2.714747e-06,1.953970e-04,6.380353e-05,6.126345e-05,3.243999e-06,1.990829e-04,6.769924e-05,6.569879e-05
3.966667e+00,-3.900415e-06,1.985196e-04,5.974270e-05,6.677380e-05,2.125086e-06,2.022082e-04,6.362151e-05,7.125923e-05
4.000000e+00,8.055875e-07,1.947586e-04,5.628270e-05,7.270581e-05,6.755689e-06,1.985715e-04,6.015693e-05,7.722463e-05
4.033333e+00,1.115494e-05,1.843973e-04,5.368205e-05,7.872055e-05,1.706259e-05,1.882606e-04,5.759184e-05,8.325696e-05
4.066667e+00,2.653973e-05,1.681287e-04,5.216118e-05,8.447885e-05,3.228212e-05,1.721622e-04,5.612040e-05,8.901529e-05
4.100000e+00,4.603067e-05,1.470117e-04,5.188803e-05,8.966314e-05,5.152337e-05,1.512997e-04,5.590519e-05,9.419208e-05
4.133333e+00,6.843557e-05,1.224052e-04,5.296653e-05,9.399811e-05,7.369589e-05,1.269161e-04,5.708931e-05,9.848906e-05
4.166667e+00,9.237427e-05,9.588256e-05,5.542873e-05,9.726879e-05,9.734917e-05,1.006732e-04,5.966045e-05,1.017215e-04
4.200000e+00,1.163656e-04,6.913331e-05,5.923119e-05,9.933492e-05,1.210577e-04,7.419805e-05,6.357240e-05,1.037578e-04
4.233333e+00,1.389204e-04,4.385715e-05,6.425592e-05,1.001405e-04,1.433069e-04,4.921565e-05,6.873940e-05,1.045101e-04
4.266667e+00,1.586358e-04,2.165780e-05,7.031579e-05,9.971802e-05,1.627553e-04,2.726729e-05,7.493217e-05,1.040548e-04
4.300000e+00,1.742832e-04,3.942641e-06,7.716437e-05,9.818682e-05,1.782255e-04,9.706788e-06,8.190574e-05,1.025138e-04
4.333333e+00,1.848860e-04,-8.165096e-06,8.450938e-05,9.574584e-05,1.886101e-04,-2.189123e-06,8.937758e-05,1.000644e-04
4.366667e+00,1.897816e-04,-1.389641e-05,9.202923e-05,9.266094e-05,1.934135e-04,-7.828034e-06,9.700713e-05,9.700348e-05
4.400000e+00,1.886631e-04,-1.288423e-05,9.939154e-05,8.924771e-05,1.923507e-04,-6.857558e-06,1.044677e-04,9.364091e-05
4.433333e+00,1.815994e-04,-5.185889e-06,1.062725e-04,8.585074e-05,1.853229e-04,8.637320e-07,1.114184e-04,9.032375e-05
4.466667e+00,1.690316e-04,8.720984e-06,1.123761e-04,8.282072e-05,1.729474e-04,1.466361e-05,1.175778e-04,8.740074e-05
4.500000e+00,1.517457e-04,2.796905e-05,1.174515e-04,8.049072e-05,1.559812e-04,3.370647e-05,1.227025e-04,8.519384e-05
4.533333e+00,1.308239e-04,5.135624e-05,1.213083e-04,7.915335e-05,1.353824e-04,5.692616e-05,1.265674e-04,8.402220e-05
4.566667e+00,1.075775e-04,7.742176e-05,1.238279e-04,7.904012e-05,1.125440e-04,8.275463e-05,1.290947e-04,8.408146e-05
4.600000e+00,8.346499e-05,1.045383e-04,1.249706e-04,8.030453e-05,8.885580e-05,1.096255e-04,1.302500e-04,8.551475e-05
4.633333e+00,6.000143e-05,1.310145e-04,1.247781e-04,8.300997e-05,6.581877e-05,1.358478e-04,1.300399e-04,8.842175e-05
4.666667e+00,3.866379e-05,1.552020e-04,1.233706e-04,8.712327e-05,4.485837e-05,1.598112e-04,1.286299e-04,9.271830e-05
4.700000e+00,2.079886e-05,1.755988e-04,1.209392e-04,9.251446e-05,2.725836e-05,1.800714e-04,1.262111e-04,9.827074e-05
4.733333e+00,7.539300e-06,1.909440e-04,1.177341e-04,9.896286e-05,1.426636e-05,1.952328e-04,1.230152e-04,1.048828e-04
4.766667e+00,-2.669730e-07,2.002975e-04,1.140489e-04,1.061691e-04,6.582086e-06,2.045179e-04,1.193618e-04,1.122180e-04
4.800000e+00,-2.109556e-06,2.030990e-04,1.102012e-04,1.137726e-04,4.699023e-06,2.073890e-04,1.155628e-04,1.199208e-04
4.833333e+00,2.152801e-06,1.992035e-04,1.065133e-04,1.213732e-04,8.943792e-06,2.035047e-04,1.119466e-04,1.275873e-04
4.866667e+00,1.228357e-05,1.888904e-04,1.032908e-04,1.285557e-04,1.891046e-05,1.933413e-04,1.088132e-04,1.348024e-04
4.900000e+00,2.768358e-05,1.728462e-04,1.008030e-04,1.349162e-04,3.403120e-05,1.775597e-04,1.064232e-04,1.411738e-04
4.933333e+00,4.742872e-05,1.521213e-04,9.926564e-05,1.400875e-04,5.352948e-05,1.570588e-04,1.050180e-04,1.463009e-04
4.966667e+00,7.032796e-05,1.280642e-04,9.882583e-05,1.437634e-04,7.610485e-05,1.333097e-04,1.047117e-04,1.499193e-04
