t,lc1,lc2,c3,c4
9.366667e+00,-3.639953e-03,-1.034536e-03,-3.961038e-03,-1.127525e-03
9.400000e+00,-3.666006e-03,-1.040736e-03,-3.984128e-03,-1.130672e-03
9.433333e+00,-3.694457e-03,-1.048225e-03,-4.014546e-03,-1.139838e-03
9.466667e+00,-3.725053e-03,-1.056925e-03,-4.045017e-03,-1.147987e-03
9.500000e+00,-3.757513e-03,-1.066736e-03,-4.075226e-03,-1.154975e-03
9.533333e+00,-3.791530e-03,-1.077540e-03,-4.112126e-03,-1.167859e-03
9.566667e+00,-3.826777e-03,-1.089207e-03,-4.148159e-03,-1.179348e-03
9.600000e+00,-3.862917e-03,-1.101591e-03,-4.182940e-03,-1.189246e-03
9.633333e+00,-3.899604e-03,-1.114540e-03,-4.223563e-03,-1.204769e-03
9.666667e+00,-3.936492e-03,-1.127892e-03,-4.262240e-03,-1.218388e-03
9.700000e+00,-3.973240e-03,-1.141483e-03,-4.298565e-03,-1.229875e-03
9.733333e+00,-4.009515e-03,-1.155150e-03,-4.339830e-03,-1.246647e-03
9.766667e+00,-4.045001e-03,-1.168731e-03,-4.378061e-03,-1.260947e-03
9.800000e+00,-4.079397e-03,-1.182070e-03,-4.412882e-03,-1.272545e-03
9.833333e+00,-4.112429e-03,-1.195019e-03,-4.451834e-03,-1.289097e-03
9.866667e+00,-4.143845e-03,-1.207438e-03,-4.486794e-03,-1.302633e-03
9.900000e+00,-4.173423e-03,-1.219202e-03,-4.517446e-03,-1.312941e-03
9.933333e+00,-4.200970e-03,-1.230197e-03,-4.551629e-03,-1.327953e-03
9.966667e+00,-4.226325e-03,-1.240324e-03,-4.581083e-03,-1.339490e-03
1.000000e+01,-4.249359e-03,-1.249500e-03,-4.605680e-03,-1.347414e-03
