f,real,imag
6.570841e-01,-1.050912e-01,-2.163713e+00
6.590215e-01,-1.074284e-01,-2.158298e+00
6.609589e-01,-1.097573e-01,-2.152903e+00
6.628963e-01,-1.120780e-01,-2.147529e+00
6.648337e-01,-1.143904e-01,-2.142176e+00
6.667710e-01,-1.166946e-01,-2.136843e+00
6.687084e-01,-1.189905e-01,-2.131530e+00
6.706458e-01,-1.212781e-01,-2.126236e+00
6.725832e-01,-1.235574e-01,-2.120963e+00
6.745205e-01,-1.258284e-01,-2.115709e+00
6.764579e-01,-1.280911e-01,-2.110474e+00
6.783953e-01,-1.303455e-01,-2.105258e+00
6.803327e-01,-1.325915e-01,-2.100061e+00
6.822701e-01,-1.348292e-01,-2.094883e+00
6.842074e-01,-1.370585e-01,-2.089723e+00
6.861448e-01,-1.392794e-01,-2.084582e+00
6.880822e-01,-1.414920e-01,-2.079459e+00
6.900196e-01,-1.436962e-01,-2.074353e+00
6.919569e-01,-1.458920e-01,-2.069266e+00
6.938943e-01,-1.480794e-01,-2.064196e+00
6.958317e-01,-1.502584e-01,-2.059144e+00
6.977691e-01,-1.524289e-01,-2.054109e+00
6.997065e-01,-1.545911e-01,-2.049091e+00
7.016438e-01,-1.567448e-01,-2.044091e+00
7.035812e-01,-1.588901e-01,-2.039107e+00
7.055186e-01,-1.610269e-01,-2.034140e+00
7.074560e-01,-1.631552e-01,-2.029189e+00
7.093933e-01,-1.652751e-01,-2.024255e+00
7.113307e-01,-1.673866e-01,-2.019337e+00
7.132681e-01,-1.694896e-01,-2.014436e+00
7.152055e-01,-1.715840e-01,-2.009550e+00
7.171429e-01,-1.736700e-01,-2.004680e+00
7.190802e-01,-1.757475e-01,-1.999826e+00
7.210176e-01,-1.778166e-01,-1.994988e+00
7.229550e-01,-1.798771e-01,-1.990165e+00
7.248924e-01,-1.819291e-01,-1.985357e+00
7.268297e-01,-1.839726e-01,-1.980565e+00
7.287671e-01,-1.860076e-01,-1.975787e+00
7.307045e-01,-1.880341e-01,-1.971025e+00
7.326419e-01,-1.900520e-01,-1.966277e+00
7.345793e-01,-1.920614e-01,-1.961545e+00
7.365166e-01,-1.940624e-01,-1.956826e+00
7.384540e-01,-1.960547e-01,-1.952123e+00
7.403914e-01,-1.980386e-01,-1.947434e+00
7.423288e-01,-2.000139e-01,-1.942759e+00
7.442661e-01,-2.019807e-01,-1.938098e+00
7.462035e-01,-2.039390e-01,-1.933451e+00
7.481409e-01,-2.058887e-01,-1.928818e+00
7.500783e-01,-2.078299e-01,-1.924199e+00
7.520157e-01,-2.097625e-01,-1.919594e+00
7.539530e-01,-2.116866e-01,-1.915003e+00
7.558904e-01,-2.136022e-01,-1.910425e+00
7.578278e-01,-2.155092e-01,-1.905860e+00
7.597652e-01,-2.174077e-01,-1.901309e+00
7.617025e-01,-2.192977e-01,-1.896771e+00
7.636399e-01,-2.211792e-01,-1.892247e+00
7.655773e-01,-2.230521e-01,-1.887735e+00
7.675147e-01,-2.249165e-01,-1.883236e+00
7.694521e-01,-2.267723e-01,-1.878751e+00
7.713894e-01,-2.286196e-01,-1.874278e+00
7.733268e-01,-2.304585e-01,-1.869818e+00
7.752642e-01,-2.322888e-01,-1.865370e+00
7.772016e-01,-2.341105e-01,-1.860935e+00
7.791389e-01,-2.359238e-01,-1.856513e+00
7.810763e-01,-2.377286e-01,-1.852103e+00
7.830137e-01,-2.395249e-01,-1.847705e+00
7.849511e-01,-2.413126e-01,-1.843320e+00
7.868885e-01,-2.430919e-01,-1.838947e+00
7.888258e-01,-2.448627e-01,-1.834586e+00
7.907632e-01,-2.466250e-01,-1.830237e+00
7.927006e-01,-2.483788e-01,-1.825899e+00
7.946380e-01,-2.501242e-01,-1.821574e+00
7.965753e-01,-2.518611e-01,-1.817261e+00
7.985127e-01,-2.535895e-01,-1.812959e+00
8.004501e-01,-2.553095e-01,-1.808669e+00
8.023875e-01,-2.570211e-01,-1.804390e+00
8.043249e-01,-2.587242e-01,-1.800124e+00
8.062622e-01,-2.604189e-01,-1.795868e+00
8.081996e-01,-2.621051e-01,-1.791624e+00
8.101370e-01,-2.637830e-01,-1.787391e+00
8.120744e-01,-2.654524e-01,-1.783170e+00
8.140117e-01,-2.671135e-01,-1.778960e+00
8.159491e-01,-2.687662e-01,-1.774761e+00
8.178865e-01,-2.704105e-01,-1.770573e+00
8.198239e-01,-2.720464e-01,-1.766396e+00
8.217613e-01,-2.736739e-01,-1.762230e+00
8.236986e-01,-2.752932e-01,-1.758075e+00
8.256360e-01,-2.769040e-01,-1.753931e+00
8.275734e-01,-2.785066e-01,-1.749798e+00
8.295108e-01,-2.801008e-01,-1.745675e+00
8.314481e-01,-2.816868e-01,-1.741563e+00
8.333855e-01,-2.832644e-01,-1.737462e+00
8.353229e-01,-2.848337e-01,-1.733371e+00
8.372603e-01,-2.863948e-01,-1.729291e+00
8.391977e-01,-2.879476e-01,-1.725222e+00
8.411350e-01,-2.894922e-01,-1.721163e+00
8.430724e-01,-2.910285e-01,-1.717114e+00
8.450098e-01,-2.925566e-01,-1.713075e+00
8.469472e-01,-2.940765e-01,-1.709047e+00
8.488845e-01,-2.955882e-01,-1.705029e+00
8.508219e-01,-2.970918e-01,-1.701022e+00
8.527593e-01,-2.985871e-01,-1.697024e+00
8.546967e-01,-3.000743e-01,-1.693037e+00
8.566341e-01,-3.015533e-01,-1.689060e+00
8.585714e-01,-3.030242e-01,-1.685092e+00
8.605088e-01,-3.044870e-01,-1.681135e+00
8.624462e-01,-3.059417e-01,-1.677187e+00
8.643836e-01,-3.073883e-01,-1.673250e+00
8.663209e-01,-3.088268e-01,-1.669322e+00
8.682583e-01,-3.102573e-01,-1.665404e+00
8.701957e-01,-3.116797e-01,-1.661496e+00
8.721331e-01,-3.130941e-01,-1.657598e+00
8.740705e-01,-3.145005e-01,-1.653709e+00
8.760078e-01,-3.158989e-01,-1.649830e+00
8.779452e-01,-3.172893e-01,-1.645961e+00
8.798826e-01,-3.186718e-01,-1.642101e+00
8.818200e-01,-3.200463e-01,-1.638251e+00
8.837573e-01,-3.214128e-01,-1.634410e+00
8.856947e-01,-3.227715e-01,-1.630579e+00
8.876321e-01,-3.241222e-01,-1.626757e+00
8.895695e-01,-3.254651e-01,-1.622944e+00
8.915068e-01,-3.268001e-01,-1.619141e+00
8.934442e-01,-3.281272e-01,-1.615347e+00
8.953816e-01,-3.294466e-01,-1.611562e+00
8.973190e-01,-3.307581e-01,-1.607787e+00
8.992564e-01,-3.320618e-01,-1.604021e+00
9.011937e-01,-3.333577e-01,-1.600264e+00
9.031311e-01,-3.346459e-01,-1.596516e+00
9.050685e-01,-3.359263e-01,-1.592777e+00
9.070059e-01,-3.371990e-01,-1.589048e+00
9.089432e-01,-3.384640e-01,-1.585327e+00
9.108806e-01,-3.397213e-01,-1.581616e+00
9.128180e-01,-3.409710e-01,-1.577913e+00
9.147554e-01,-3.422130e-01,-1.574220e+00
9.166928e-01,-3.434473e-01,-1.570535e+00
9.186301e-01,-3.446741e-01,-1.566859e+00
9.205675e-01,-3.458933e-01,-1.563192e+00
9.225049e-01,-3.471048e-01,-1.559534e+00
9.244423e-01,-3.483089e-01,-1.555885e+00
9.263796e-01,-3.495054e-01,-1.552244e+00
9.283170e-01,-3.506943e-01,-1.548613e+00
9.302544e-01,-3.518758e-01,-1.544990e+00
9.321918e-01,-3.530498e-01,-1.541376e+00
9.341292e-01,-3.542164e-01,-1.537770e+00
9.360665e-01,-3.553755e-01,-1.534173e+00
9.380039e-01,-3.565272e-01,-1.530585e+00
9.399413e-01,-3.576715e-01,-1.527005e+00
9.418787e-01,-3.588084e-01,-1.523434e+00
9.438160e-01,-3.599380e-01,-1.519871e+00
9.457534e-01,-3.610603e-01,-1.516317e+00
9.476908e-01,-3.621752e-01,-1.512771e+00
9.496282e-01,-3.632828e-01,-1.509234e+00
9.515656e-01,-3.643832e-01,-1.505706e+00
9.535029e-01,-3.654763e-01,-1.502185e+00
9.554403e-01,-3.665622e-01,-1.498673e+00
9.573777e-01,-3.676409e-01,-1.495170e+00
9.593151e-01,-3.687123e-01,-1.491675e+00
9.612524e-01,-3.697767e-01,-1.488188e+00
9.631898e-01,-3.708338e-01,-1.484709e+00
9.651272e-01,-3.718839e-01,-1.481239e+00
9.670646e-01,-3.729268e-01,-1.477777e+00
9.690020e-01,-3.739627e-01,-1.474323e+00
9.709393e-01,-3.749915e-01,-1.470878e+00
9.728767e-01,-3.760133e-01,-1.467440e+00
9.748141e-01,-3.770280e-01,-1.464011e+00
9.767515e-01,-3.780358e-01,-1.460590e+00
9.786888e-01,-3.790366e-01,-1.457177e+00
