w,mag,ang,re,im
-4.442651e+03,2.250907e-04,8.999355e+01,2.533294e-08,2.250907e-04
-4.363371e+03,2.291805e-04,8.999343e+01,2.626189e-08,2.291805e-04
-4.285505e+03,2.333447e-04,8.999332e+01,2.722489e-08,2.333447e-04
-4.209028e+03,2.375844e-04,8.999319e+01,2.822321e-08,2.375844e-04
-4.133916e+03,2.419013e-04,8.999307e+01,2.925814e-08,2.419012e-04
-4.060145e+03,2.462965e-04,8.999294e+01,3.033102e-08,2.462965e-04
-3.987690e+03,2.507716e-04,8.999282e+01,3.144324e-08,2.507716e-04
-3.916528e+03,2.553280e-04,8.999269e+01,3.259625e-08,2.553280e-04
-3.846636e+03,2.599672e-04,8.999255e+01,3.379153e-08,2.599672e-04
-3.777992e+03,2.646907e-04,8.999242e+01,3.503065e-08,2.646907e-04
-3.710572e+03,2.695001e-04,8.999228e+01,3.631520e-08,2.695001e-04
-3.644355e+03,2.743968e-04,8.999214e+01,3.764686e-08,2.743968e-04
-3.579321e+03,2.793825e-04,8.999200e+01,3.902734e-08,2.793825e-04
-3.515446e+03,2.844587e-04,8.999185e+01,4.045845e-08,2.844587e-04
-3.452712e+03,2.896272e-04,8.999170e+01,4.194204e-08,2.896272e-04
-3.391097e+03,2.948896e-04,8.999155e+01,4.348003e-08,2.948896e-04
-3.330581e+03,3.002477e-04,8.999140e+01,4.507442e-08,3.002477e-04
-3.271146e+03,3.057031e-04,8.999124e+01,4.672727e-08,3.057030e-04
-3.212771e+03,3.112576e-04,8.999108e+01,4.844073e-08,3.112575e-04
-3.155438e+03,3.169130e-04,8.999092e+01,5.021702e-08,3.169130e-04
-3.099128e+03,3.226712e-04,8.999076e+01,5.205845e-08,3.226712e-04
-3.043823e+03,3.285340e-04,8.999059e+01,5.396740e-08,3.285340e-04
-2.989505e+03,3.345033e-04,8.999042e+01,5.594636e-08,3.345033e-04
-2.936156e+03,3.405811e-04,8.999024e+01,5.799788e-08,3.405811e-04
-2.883759e+03,3.467693e-04,8.999007e+01,6.012462e-08,3.467693e-04
-2.832297e+03,3.530700e-04,8.998989e+01,6.232936e-08,3.530699e-04
-2.781754e+03,3.594851e-04,8.998970e+01,6.461494e-08,3.594851e-04
-2.732112e+03,3.660168e-04,8.998951e+01,6.698433e-08,3.660168e-04
-2.683357e+03,3.726672e-04,8.998932e+01,6.944061e-08,3.726672e-04
-2.635471e+03,3.794384e-04,8.998913e+01,7.198695e-08,3.794384e-04
-2.588440e+03,3.863326e-04,8.998893e+01,7.462667e-08,3.863326e-04
-2.542248e+03,3.933521e-04,8.998873e+01,7.736319e-08,3.933521e-04
-2.496881e+03,4.004991e-04,8.998853e+01,8.020005e-08,4.004991e-04
-2.452323e+03,4.077760e-04,8.998832e+01,8.314094e-08,4.077760e-04
-2.408561e+03,4.151852e-04,8.998811e+01,8.618967e-08,4.151852e-04
-2.365579e+03,4.227289e-04,8.998789e+01,8.935019e-08,4.227289e-04
-2.323364e+03,4.304097e-04,8.998767e+01,9.262661e-08,4.304097e-04
-2.281903e+03,4.382301e-04,8.998745e+01,9.602318e-08,4.382301e-04
-2.241182e+03,4.461925e-04,8.998722e+01,9.954429e-08,4.461925e-04
-2.201187e+03,4.542996e-04,8.998699e+01,1.031945e-07,4.542996e-04
-2.161906e+03,4.625541e-04,8.998675e+01,1.069786e-07,4.625541e-04
-2.123326e+03,4.709585e-04,8.998651e+01,1.109015e-07,4.709585e-04
-2.085434e+03,4.795156e-04,8.998626e+01,1.149681e-07,4.795156e-04
-2.048219e+03,4.882282e-04,8.998601e+01,1.191840e-07,4.882282e-04
-2.011668e+03,4.970991e-04,8.998576e+01,1.235544e-07,4.970990e-04
-1.975769e+03,5.061311e-04,8.998550e+01,1.280850e-07,5.061311e-04
-1.940510e+03,5.153273e-04,8.998524e+01,1.327818e-07,5.153273e-04
-1.905881e+03,5.246906e-04,8.998497e+01,1.376509e-07,5.246905e-04
-1.871870e+03,5.342240e-04,8.998470e+01,1.426985e-07,5.342239e-04
-1.838466e+03,5.439306e-04,8.998442e+01,1.479311e-07,5.439305e-04
-1.805658e+03,5.538135e-04,8.998413e+01,1.533557e-07,5.538135e-04
-1.773435e+03,5.638761e-04,8.998385e+01,1.589792e-07,5.638760e-04
-1.741787e+03,5.741214e-04,8.998355e+01,1.648088e-07,5.741214e-04
-1.710704e+03,5.845529e-04,8.998325e+01,1.708523e-07,5.845529e-04
-1.680176e+03,5.951740e-04,8.998295e+01,1.771173e-07,5.951740e-04
-1.650193e+03,6.059880e-04,8.998264e+01,1.836121e-07,6.059880e-04
-1.620745e+03,6.169985e-04,8.998232e+01,1.903451e-07,6.169985e-04
-1.591822e+03,6.282091e-04,8.998200e+01,1.973249e-07,6.282091e-04
-1.563415e+03,6.396233e-04,8.998168e+01,2.045607e-07,6.396233e-04
-1.535515e+03,6.512450e-04,8.998134e+01,2.120619e-07,6.512449e-04
-1.508113e+03,6.630778e-04,8.998100e+01,2.198381e-07,6.630777e-04
-1.481201e+03,6.751256e-04,8.998066e+01,2.278994e-07,6.751255e-04
-1.454768e+03,6.873923e-04,8.998031e+01,2.362564e-07,6.873922e-04
-1.428807e+03,6.998818e-04,8.997995e+01,2.449198e-07,6.998818e-04
