f,Ts,Td
4.340000e+00,6.827874e-01,6.640472e-04
4.350000e+00,6.832740e-01,6.726923e-04
4.360000e+00,6.837582e-01,6.811606e-04
4.370000e+00,6.842398e-01,6.894551e-04
4.380000e+00,6.847189e-01,6.975789e-04
4.390000e+00,6.851955e-01,7.055348e-04
4.400000e+00,6.856695e-01,7.133259e-04
4.410000e+00,6.861411e-01,7.209549e-04
4.420000e+00,6.866102e-01,7.284246e-04
4.430000e+00,6.870769e-01,7.357378e-04
4.440000e+00,6.875411e-01,7.428972e-04
4.450000e+00,6.880028e-01,7.499053e-04
4.460000e+00,6.884621e-01,7.567648e-04
4.470000e+00,6.889189e-01,7.634783e-04
4.480000e+00,6.893734e-01,7.700482e-04
4.490000e+00,6.898254e-01,7.764770e-04
4.500000e+00,6.902751e-01,7.827671e-04
4.510000e+00,6.907224e-01,7.889210e-04
4.520000e+00,6.911672e-01,7.949408e-04
4.530000e+00,6.916098e-01,8.008290e-04
4.540000e+00,6.920500e-01,8.065878e-04
4.550000e+00,6.924878e-01,8.122193e-04
4.560000e+00,6.929233e-01,8.177258e-04
4.570000e+00,6.933566e-01,8.231094e-04
4.580000e+00,6.937875e-01,8.283721e-04
4.590000e+00,6.942161e-01,8.335161e-04
4.600000e+00,6.946424e-01,8.385434e-04
4.610000e+00,6.950665e-01,8.434559e-04
4.620000e+00,6.954883e-01,8.482556e-04
4.630000e+00,6.959079e-01,8.529444e-04
4.640000e+00,6.963252e-01,8.575243e-04
4.650000e+00,6.967403e-01,8.619970e-04
4.660000e+00,6.971532e-01,8.663644e-04
4.670000e+00,6.975639e-01,8.706283e-04
4.680000e+00,6.979724e-01,8.747904e-04
4.690000e+00,6.983788e-01,8.788524e-04
4.700000e+00,6.987830e-01,8.828161e-04
4.710000e+00,6.991850e-01,8.866832e-04
4.720000e+00,6.995849e-01,8.904552e-04
4.730000e+00,6.999827e-01,8.941337e-04
4.740000e+00,7.003783e-01,8.977205e-04
4.750000e+00,7.007719e-01,9.012169e-04
4.760000e+00,7.011633e-01,9.046246e-04
4.770000e+00,7.015527e-01,9.079450e-04
4.780000e+00,7.019400e-01,9.111796e-04
4.790000e+00,7.023252e-01,9.143299e-04
4.800000e+00,7.027084e-01,9.173973e-04
4.810000e+00,7.030896e-01,9.203832e-04
4.820000e+00,7.034688e-01,9.232890e-04
4.830000e+00,7.038459e-01,9.261160e-04
4.840000e+00,7.042210e-01,9.288656e-04
4.850000e+00,7.045942e-01,9.315390e-04
4.860000e+00,7.049654e-01,9.341376e-04
4.870000e+00,7.053346e-01,9.366627e-04
4.880000e+00,7.057018e-01,9.391154e-04
4.890000e+00,7.060671e-01,9.414969e-04
4.900000e+00,7.064305e-01,9.438086e-04
4.910000e+00,7.067920e-01,9.460516e-04
4.920000e+00,7.071515e-01,9.482270e-04
4.930000e+00,7.075092e-01,9.503359e-04
4.940000e+00,7.078649e-01,9.523796e-04
4.950000e+00,7.082188e-01,9.543590e-04
4.960000e+00,7.085708e-01,9.562754e-04
4.970000e+00,7.089210e-01,9.581296e-04
4.980000e+00,7.092694e-01,9.599229e-04
4.990000e+00,7.096159e-01,9.616562e-04
5.000000e+00,7.099605e-01,9.633306e-04
