w,mag,ang,re,im
-1.643858e+01,2.808601e-03,1.406259e+02,-2.171106e-03,1.781723e-03
-1.636478e+01,2.827348e-03,1.404627e+02,-2.180480e-03,1.799834e-03
-1.629131e+01,2.846175e-03,1.402997e+02,-2.189835e-03,1.818057e-03
-1.621818e+01,2.865082e-03,1.401369e+02,-2.199173e-03,1.836391e-03
-1.614537e+01,2.884070e-03,1.399743e+02,-2.208493e-03,1.854837e-03
-1.607289e+01,2.903139e-03,1.398119e+02,-2.217794e-03,1.873394e-03
-1.600073e+01,2.922288e-03,1.396497e+02,-2.227076e-03,1.892062e-03
-1.592890e+01,2.941517e-03,1.394877e+02,-2.236338e-03,1.910841e-03
-1.585739e+01,2.960827e-03,1.393260e+02,-2.245580e-03,1.929732e-03
-1.578620e+01,2.980217e-03,1.391645e+02,-2.254802e-03,1.948733e-03
-1.571533e+01,2.999687e-03,1.390032e+02,-2.264002e-03,1.967845e-03
-1.564478e+01,3.019238e-03,1.388422e+02,-2.273182e-03,1.987068e-03
-1.557454e+01,3.038868e-03,1.386813e+02,-2.282339e-03,2.006401e-03
-1.550462e+01,3.058579e-03,1.385208e+02,-2.291475e-03,2.025845e-03
-1.543502e+01,3.078369e-03,1.383605e+02,-2.300588e-03,2.045398e-03
-1.536573e+01,3.098240e-03,1.382004e+02,-2.309678e-03,2.065062e-03
-1.529674e+01,3.118190e-03,1.380406e+02,-2.318744e-03,2.084835e-03
-1.522807e+01,3.138220e-03,1.378810e+02,-2.327787e-03,2.104718e-03
-1.515971e+01,3.158330e-03,1.377217e+02,-2.336805e-03,2.124710e-03
-1.509165e+01,3.178520e-03,1.375627e+02,-2.345799e-03,2.144811e-03
-1.502390e+01,3.198788e-03,1.374039e+02,-2.354768e-03,2.165021e-03
-1.495645e+01,3.219136e-03,1.372455e+02,-2.363711e-03,2.185340e-03
-1.488931e+01,3.239564e-03,1.370873e+02,-2.372629e-03,2.205767e-03
-1.482247e+01,3.260070e-03,1.369293e+02,-2.381520e-03,2.226302e-03
-1.475592e+01,3.280655e-03,1.367717e+02,-2.390385e-03,2.246945e-03
-1.468968e+01,3.301320e-03,1.366143e+02,-2.399223e-03,2.267695e-03
-1.462373e+01,3.322063e-03,1.364573e+02,-2.408033e-03,2.288553e-03
-1.455808e+01,3.342884e-03,1.363005e+02,-2.416816e-03,2.309518e-03
-1.449273e+01,3.363784e-03,1.361441e+02,-2.425572e-03,2.330589e-03
-1.442766e+01,3.384763e-03,1.359879e+02,-2.434298e-03,2.351767e-03
-1.436289e+01,3.405819e-03,1.358321e+02,-2.442996e-03,2.373051e-03
-1.429841e+01,3.426953e-03,1.356765e+02,-2.451665e-03,2.394441e-03
-1.423422e+01,3.448166e-03,1.355213e+02,-2.460305e-03,2.415936e-03
